Link,Tags
happy_1,peaceful calm pretty happy tranquil quiet harmony
happy_2,chill peaceful happy lovely joyful
happy_3,happy reflective thoughtful content 
happy_4,summer peaceful pretty happy smile laugh relax chill reflective
depressed_1,death depressed suicidal comfort sadness alone
depressed_2,gloomy sad depressed pondering
depressed_3,thoughtful down sorrowful unhappy empty 
depressed_4,tears crying sadness depressed sobbing weeping
anxious_1,anxious crazy nutty stressed paranoid 
anxious_2,anxious stressed worried uneasy troubled
anxious_3,crying tears sad anxious depressed fearful nervous distressed
anxious_4,concern anxious apprehensive disturbing
scary_1,creepy scary dark bloody horrifying shocking
scary_2,creepy scary dark horrifying spooky haunted
scary_3,scary creepy eerie spooky mysterious
scary_4,insulting scary rude vulgar disrespectful cruel brutal savage offensive ruthless vicious heartless
uplift_1,excite uplift inspire elevate boost enlighten
uplift_2,uplifting cheer-up inspire lift
uplift_3,raise amplify boost enhance exaggerate
lonely_1,dark sad alone lonely deep misery 
lonely_2,solitude lonliness privacy isolation peace seculsion 
lonely_3,silence retirement emptiness lonliness lonesome missing-his-partner (missing-you)?
lonely_4,detached quarantine reclusiveness solitariness loneness confinement silence
partying_1,lively fun partying raging celebrating
partying_2,colorful partying drugs high drunk celebrate
partying_3,disco fun celebrate drugs weed alcohol funny enjoy lively 
partying_4,thrill excitement adventure party dancing singing playing
chill_1,relax chill calm quiet serene peaceful restful stillness serenity soothe gentle
chill_2,relax chill high unwind calm
chill_3,relax chill sleep lay cool decompress comfort learning thought
chill_4,relax chill calm pretty peaceful
chill_5,serene relief soothing  tranquil
chill_6,calming meditate gentle  bright
death_1,dead scary dark creepy grim 
death_2,spooky dead scary creepy frightening ghostly ugly 
death_3,death dark gloomy eerie strange 
death_4,death scary haunted cry tears
heartbreak_1,cry tear brokenheart heartbreak misery heartache pain
heartbreak_2,sadness brokenheart heartbreak heartache sorrow grief suffering
heartbreak_3,agony bitterness grief heartache pain heartsick
heartbreak_4,crying upset brokenheart hurting
love_1,love heart warm comforting companion friend
love_2,intimate sex embrace devoted close attached obsessed
love_3,intimacy couple calming family supportive
love_4,lust sex desire libido concupiscence 
love_5,kissing sexy lips touch seductive captivating tempting suggestive
